prot_id,name,function,compartment,kind,pdb_id,biosynthesis,seq_length
MG_036_MONOMER,aspartyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,550
MG_037_MONOMER,nicotinate phosphoribosyltransferase,metabolism,c,monomer,,,450
MG_038_MONOMER,glycerol kinase,metabolism,c,monomer,,,508
MG_038_TETRAMER,glycerol kinase,metabolism,c,complex,,(4.0)MG_038_MONOMER',
MG_039_DIMER,FAD-dependent glycerol-3-phosphate dehydrogenase; putative,metabolism,c,complex,,(2.0)MG_039_MONOMER',
MG_039_MONOMER,FAD-dependent glycerol-3-phosphate dehydrogenase; putative,metabolism,c,monomer,,,384
MG_040_119_120_121_PENTAMER,Monosaccharide (riboside/galactoside) ABC transporter,protein transport/singaling,m,complex,4FI3,(1.0)MG_040_MONOMER'+ '(2.0)MG_119_MONOMER'+ '(1.0)MG_120_MONOMER'+ '(1.0)MG_121_MONOMER',
MG_040_MONOMER,Monosaccharide (riboside/galactoside) ABC transporter; substrate binding protein,protein transport/singaling,c,monomer,4FI3,,591
MG_041_062_429_PENTAMER,PTS system; fructose-specific,metabolism,m,complex,,(1.0)MG_041_MONOMER'+ '(2.0)MG_062_MONOMER'+ '(2.0)MG_429_MONOMER',
MG_041_069_429_PENTAMER,PTS system; glucose-specific,metabolism,m,complex,,(1.0)MG_041_MONOMER'+ '(2.0)MG_069_MONOMER'+ '(2.0)MG_429_MONOMER',
MG_041_MONOMER,PTS system; HPr,metabolism,c,monomer,2XDF,,88
MG_042_043_044_045_PENTAMER,spermidine/putrescine (polyamine) ABC transporter,protein transport/singaling,m,complex,3PUZ,(2.0)MG_042_MONOMER'+ '(1.0)MG_043_MONOMER'+ '(1.0)MG_044_MONOMER'+ '(1.0)MG_045_MONOMER',
MG_042_MONOMER,spermidine/putrescine (polyamine) ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,3PUZ,,559
MG_043_MONOMER,spermidine/putrescine (polyamine) ABC transporter; permease protein; putative,protein transport/singaling,c,monomer,3PUZ,,285
MG_044_MONOMER,spermidine/putrescine (polyamine) ABC transporter; permease protein; putative,protein transport/singaling,c,monomer,3PUZ,,284
MG_045_MONOMER,spermidine/putrescine (polyamine) ABC transporter; spermidine/putrescine binding protein; putative,protein transport/singaling,c,monomer,3PUZ,,483
MG_046_DIMER,metalloendopeptidase,RNA synthesis/maturation,c,complex,,(2.0)MG_046_MONOMER',
MG_046_MONOMER,metalloendopeptidase,RNA synthesis/maturation,c,monomer,,,315
MG_047_MONOMER,S-adenosylmethionine synthetase,metabolism,c,monomer,,,383
MG_047_TETRAMER,S-adenosylmethionine synthetase,metabolism,c,complex,,(4.0)MG_047_MONOMER',
MG_048_MONOMER,signal recognition particle protein,protein transport/singaling,c,monomer,3DM5,,446
MG_049_HEXAMER,purine nucleoside phosphorylase,metabolism,c,complex,,(6.0)MG_049_MONOMER',
MG_049_MONOMER,purine nucleoside phosphorylase,metabolism,c,monomer,,,238
MG_050_MONOMER,deoxyribose-phosphate aldolase,metabolism,c,monomer,,,223
MG_051_DIMER,pyrimidine-nucleoside phosphorylase,metabolism,c,complex,,(2.0)MG_051_MONOMER',
MG_051_MONOMER,pyrimidine-nucleoside phosphorylase,metabolism,c,monomer,,,421
MG_052_DIMER,cytidine deaminase,metabolism,c,complex,,(2.0)MG_052_MONOMER',
MG_052_MONOMER,cytidine deaminase,metabolism,c,monomer,,,130
MG_053_MONOMER,phosphoglucomutase/phosphomannomutase; putative,metabolism,c,monomer,,,550
MG_053_TRIMER,phosphoglucomutase/phosphomannomutase; putative,metabolism,c,complex,,(3.0)MG_053_MONOMER',
MG_054_MONOMER,transcription antitermination protein NusG; putative,transcription,c,monomer,,,316
MG_055_170_277_464_476_20MER,preprotein translocase,protein transport/singaling,m,complex,5MG3,(4.0)MG_055_MONOMER'+ '(4.0)MG_170_MONOMER'+ '(4.0)MG_277_MONOMER'+ '(4.0)MG_464_MONOMER'+ '(4.0)MG_476_MONOMER',
MG_055_MONOMER,preprotein translocase; SecE subunit,protein transport/singaling,c,monomer,5MG3,,123
MG_056_MONOMER,tetrapyrrole (corrin/porphyrin) methylase protein,RNA synthesis/maturation,c,monomer,,,277
MG_057_MONOMER,small primase-like protein,RNA synthesis/maturation,c,monomer,,,178
MG_058_HEXAMER,ribose-phosphate pyrophosphokinase,metabolism,c,complex,,(6.0)MG_058_MONOMER',
MG_058_MONOMER,ribose-phosphate pyrophosphokinase,metabolism,c,monomer,,,332
MG_059_MONOMER,SsrA-binding protein,translation,c,monomer,,,145
MG_060_MONOMER,glycosyl transferase,protein folding/maturation,c,monomer,,,297
MG_061_MONOMER,Mycoplasma MFS transporter,protein transport/singaling,m,monomer,,,567
MG_062_MONOMER,PTS system; fructose-specific IIABC component,protein transport/singaling,c,monomer,3QNQ,,680
MG_063_DIMER,1-phosphofructokinase; putative,metabolism,c,complex,,(2.0)MG_063_MONOMER',
MG_063_MONOMER,1-phosphofructokinase; putative,metabolism,c,monomer,,,303
MG_064_065_TETRAMER,ABC transporter,protein transport/singaling,m,complex,5XU1,(2.0)MG_064_MONOMER'+ '(2.0)MG_065_MONOMER',
MG_064_MONOMER,ABC transporter; permease protein; putative,protein transport/singaling,c,monomer,5XU1,,1331
MG_065_MONOMER,ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,5XU1,,466
MG_066_DIMER,transketolase,metabolism,c,complex,,(2.0)MG_066_MONOMER',
MG_066_MONOMER,transketolase,metabolism,c,monomer,,,648
MG_067_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,1LCY,,516
MG_068_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,1LCY,,474
MG_069_MONOMER,PTS system; glucose-specific IIABC component,metabolism,c,monomer,5IWS,,908
MG_070_MONOMER,ribosomal protein S2,translation,c,monomer,,,284
MG_071_MONOMER,ATPase; P-type (transporting); HAD superfamily; subfamily IC,protein transport/singaling,m,monomer,,,874
MG_072_DIMER,preprotein translocase; SecA subunit,protein transport/singaling,c,complex,,(2.0)MG_072_MONOMER',
MG_072_MONOMER,preprotein translocase; SecA subunit,protein transport/singaling,c,monomer,,,806
MG_073_206_421_TETRAMER,DNA incision complex,DNA replication/maintenance,c,complex,3UWX,(1.0)MG_073_MONOMER'+ '(1.0)MG_206_MONOMER'+ '(2.0)MG_421_MONOMER',
MG_073_MONOMER,excinuclease ABC; B subunit,DNA replication/maintenance,c,monomer,3UWX,,656
MG_074_MONOMER,related to MG075,host cell interaction,e,monomer,,,137
MG_075_MONOMER,116 kDa surface antigen,host cell interaction,m,monomer,6G04,,1024
MG_076_MONOMER,,MG-specific,m,monomer,,,138
MG_077_078_079_080_321_PENTAMER,oligopeptide ABC transporter,protein transport/singaling,m,complex,4TQU,(1.0)MG_077_MONOMER'+ '(1.0)MG_078_MONOMER'+ '(1.0)MG_079_MONOMER'+ '(1.0)MG_080_MONOMER'+ '(1.0)MG_321_MONOMER',
MG_077_MONOMER,oligopeptide ABC transporter; permease protein,protein transport/singaling,c,monomer,4TQU,,407
MG_078_MONOMER,oligopeptide ABC transporter; permease protein,protein transport/singaling,c,monomer,4TQU,,376
MG_079_MONOMER,oligopeptide ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,4TQU,,402
MG_080_MONOMER,oligopeptide ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,4TQU,,848
MG_081_MONOMER,ribosomal protein L11,translation,c,monomer,,,137
MG_082_MONOMER,ribosomal protein L1,translation,c,monomer,,,226
MG_083_MONOMER,peptidyl-tRNA hydrolase,RNA synthesis/maturation,c,monomer,,,189
MG_084_MONOMER,tRNA(Ile)-lysidine synthetase,RNA synthesis/maturation,c,monomer,,,290
MG_084_TETRAMER,tRNA(Ile)-lysidine synthetase,RNA synthesis/maturation,c,complex,,(4.0)MG_084_MONOMER',
MG_085_HEXAMER,HPr(Ser) kinase/phosphatase,metabolism,c,complex,,(6.0)MG_085_MONOMER',
MG_085_MONOMER,HPr(Ser) kinase/phosphatase,metabolism,c,monomer,,,311
MG_086_MONOMER,prolipoprotein diacylglyceryl transferase,protein folding/maturation,m,monomer,,,382
MG_087_MONOMER,ribosomal protein S12,translation,c,monomer,,,139
MG_088_MONOMER,ribosomal protein S7,translation,c,monomer,,,155
MG_089_DIMER,translation elongation factor G,translation,c,complex,,(2.0)MG_089_MONOMER',
MG_089_MONOMER,translation elongation factor G,translation,c,monomer,,,688
MG_090_MONOMER,ribosomal protein S6,translation,c,monomer,,,208
MG_091_MONOMER,single-strand binding protein family,DNA replication/maintenance,c,monomer,,,160
MG_091_OCTAMER,single-strand binding protein family; octamer,DNA replication/maintenance,c,complex,,(2.0)MG_091_TETRAMER',
MG_091_TETRAMER,single-strand binding protein family; tetramer,DNA replication/maintenance,c,complex,,(4.0)MG_091_MONOMER',
MG_092_MONOMER,ribosomal protein S18,translation,c,monomer,,,105
MG_093_MONOMER,ribosomal protein L9,translation,c,monomer,,,150
MG_094_HEXAMER,replicative DNA helicase,DNA replication/maintenance,c,complex,,(6.0)MG_094_MONOMER',
MG_094_MONOMER,replicative DNA helicase,DNA replication/maintenance,c,monomer,4NMN,,468
MG_095_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,5CYB,,398
MG_096_MONOMER,,cytokinesis/motility,e,monomer,,,650
MG_097_MONOMER,uracil-DNA glycosylase; putative,DNA replication/maintenance,c,monomer,,,245
MG_098_099_100_TRIMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase,RNA synthesis/maturation,c,complex,3AL0,(1.0)MG_098_MONOMER'+ '(1.0)MG_099_MONOMER'+ '(1.0)MG_100_MONOMER',
MG_098_MONOMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase; C subunit,RNA synthesis/maturation,c,monomer,3AL0,,477
MG_099_MONOMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase; A subunit,RNA synthesis/maturation,c,monomer,3AL0,,477
MG_100_MONOMER,glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase; B subunit,RNA synthesis/maturation,c,monomer,3AL0,,477
MG_101_MONOMER,Uncharacterized HTH-type transcriptional regulator,transcription,c,monomer,,,222
MG_102_DIMER,thioredoxin-disulfide reductase,metabolism,c,complex,,(2.0)MG_102_MONOMER',
MG_102_DIMER_ox,oxidized thioredoxin-disulfide reductase,metabolism,c,complex,,(1.0)MG_102_DIMER'+ '(4.0)H',
MG_102_MONOMER,thioredoxin-disulfide reductase,metabolism,c,monomer,,,315
MG_103_MONOMER,transcriptional regulator; putative,transcription,c,monomer,,,280
MG_104_MONOMER,ribonuclease R,RNA synthesis/maturation,c,monomer,,,725
MG_105_MONOMER,putative DNA integrity scanning protein,DNA replication/maintenance,c,monomer,,,200
MG_105_OCTAMER,putative DNA integrity scanning protein,DNA replication/maintenance,c,complex,,(8.0)MG_105_MONOMER',
MG_106_DIMER,peptide deformylase,protein folding/maturation,c,complex,,(2.0)MG_106_MONOMER',
MG_106_MONOMER,peptide deformylase,protein folding/maturation,c,monomer,,,193
MG_107_DIMER,guanylate kinase,metabolism,c,complex,,(2.0)MG_107_MONOMER',
MG_107_MONOMER,guanylate kinase,metabolism,c,monomer,,,189
MG_108_MONOMER,Ser/Thr protein phosphatase 2C; putative,protein transport/singaling,c,monomer,,,260
MG_109_DIMER,serine/threonine protein kinase; putative,protein transport/singaling,m,complex,,(2.0)MG_109_MONOMER',
MG_109_MONOMER,serine/threonine protein kinase; putative,protein transport/singaling,c,monomer,,,387
MG_110_MONOMER,ribosome small subunit-dependent GTPase A,protein folding/maturation,c,monomer,,,278
MG_111_DIMER,glucose-6-phosphate isomerase,metabolism,c,complex,,(2.0)MG_111_MONOMER',
MG_111_MONOMER,glucose-6-phosphate isomerase,metabolism,c,monomer,,,433
MG_112_DIMER,ribulose-phosphate 3-epimerase,metabolism,c,complex,,(2.0)MG_112_MONOMER',
MG_112_MONOMER,ribulose-phosphate 3-epimerase,metabolism,c,monomer,,,209
MG_113_DIMER,asparaginyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_113_MONOMER',
MG_113_MONOMER,asparaginyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,456
MG_114_DIMER,CDP-diacylglycerol–glycerol-3-phosphate 3-phosphatidyltransferase,metabolism,m,complex,,(2.0)MG_114_MONOMER',
MG_114_MONOMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,metabolism,c,monomer,,,236
MG_115_MONOMER,competence/damage-inducible protein CinA domain protein,DNA replication/maintenance,c,monomer,,,157
MG_116_MONOMER,glycosyl transferase/terpenoid synthesis; putative,metabolism,c,monomer,,,251
MG_117_MONOMER,transcription factor; putative zinc-finger domain,transcription,c,monomer,,,214
MG_118_DIMER,UDP-glucose 4-epimerase,metabolism,c,complex,,(2.0)MG_118_MONOMER',
MG_118_MONOMER,UDP-glucose 4-epimerase,metabolism,c,monomer,,,340
MG_119_MONOMER,Monosaccharide (riboside/galactoside) ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,4FI3,,564
MG_120_MONOMER,Monosaccharide (riboside/galactoside) ABC transporter; permease protein,protein transport/singaling,c,monomer,4FI3,,520
MG_121_MONOMER,Monosaccharide (riboside/galactoside) ABC transporter; permease protein,protein transport/singaling,c,monomer,4FI3,,306
MG_122_MONOMER,DNA topoisomerase I,DNA replication/maintenance,c,monomer,,,709
MG_123_DIMER,arginine deaminase,RNA synthesis/maturation,m,complex,3TM8,(2.0)MG_123_MONOMER',
MG_123_MONOMER,arginine deaminasse,RNA synthesis/maturation,c,monomer,3TM8,,471
MG_124_MONOMER,thioredoxin,metabolism,c,monomer,,,102
MG_124_MONOMER_ox,oxidized thioredoxin,metabolism,c,complex,,(1.0)MG_124_MONOMER'+ '(2.0)H',
MG_125_MONOMER,Cof-like hydrolase; putative,metabolism,c,monomer,,,285
MG_126_DIMER,tryptophanyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_126_MONOMER',
MG_126_MONOMER,tryptophanyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,347
MG_127_MONOMER,Spx subfamily protein,transcription,c,monomer,,,145
MG_127_MONOMER_ox,oxidized Spx subfamily protein,transcription,c,complex,,(1.0)MG_127_MONOMER'+ '(2.0)H',
MG_128_HEXAMER,inorganic polyphosphate/ATP-NAD kinase; probable,metabolism,c,complex,,(6.0)MG_128_MONOMER',
MG_128_MONOMER,inorganic polyphosphate/ATP-NAD kinase; probable,metabolism,c,monomer,,,259
MG_129_MONOMER,Putative phosphotransferase enzyme glucose-specific IIB component,metabolism,e,monomer,,,117
MG_130_MONOMER,ribonuclease Y; mRNA decay,RNA synthesis/maturation,m,monomer,3HC1,,484
MG_131_MONOMER,hypothetical protein,uncharacterized,m,monomer,,,74
MG_132_DIMER,purine nucleoside phosphoramidase,metabolism,c,complex,,(2.0)MG_132_MONOMER',
MG_132_MONOMER,purine nucleoside phosphoramidase,metabolism,c,monomer,,,141
MG_133_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,,,264
MG_134_MONOMER,DNA-binding protein; nucleoid-associated,DNA replication/maintenance,c,monomer,,,100
MG_135_MONOMER,membrane protein; putative,metabolism,m,monomer,,,280
MG_136_DIMER,lysyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_136_MONOMER',
MG_136_MONOMER,lysyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,490
MG_137_DIMER,UDP-galactopyranose mutase,metabolism,c,complex,,(2.0)MG_137_MONOMER',
MG_137_MONOMER,UDP-galactopyranose mutase,metabolism,c,monomer,,,404
MG_138_MONOMER,Translation elongation factor 4,translation,c,monomer,,,598
MG_139_DIMER,ribonuclease J,RNA synthesis/maturation,c,complex,,(2.0)MG_139_MONOMER',
MG_139_MONOMER,ribonuclease J,RNA synthesis/maturation,c,monomer,,,569
MG_140_MONOMER,putative ATP-dependent helicase,DNA replication/maintenance,c,monomer,,,1113
MG_141_MONOMER,transcription termination factor NusA,transcription,c,monomer,,,531
MG_142_MONOMER,translation initiation factor IF-2,translation,c,monomer,,,619
MG_143_MONOMER,ribosome-binding factor A,protein folding/maturation,c,monomer,,,112
MG_144_MONOMER,signal recognition particle; locates ribosome to membrane,translation,m,monomer,5TCX,,279
MG_145_MONOMER,riboflavin biosynthesis protein RibF,metabolism,c,monomer,,,269
MG_146_MONOMER,UPF0053 protein,protein transport/singaling,e,monomer,,,424
MG_147_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,,,375
MG_148_MONOMER,PF09903 family; widely conserved; structural; putative cell motility; putative cell cycle; putative,uncharacterized,m,monomer,6EL1,,409
MG_149_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,281
MG_150_MONOMER,ribosomal protein S10,translation,c,monomer,,,106
MG_151_MONOMER,ribosomal protein L3,translation,c,monomer,,,257
MG_152_MONOMER,ribosomal protein L4/L1 family,translation,c,monomer,,,211
MG_153_MONOMER,ribosomal protein L23,translation,c,monomer,,,106
MG_154_MONOMER,ribosomal protein L2,translation,c,monomer,,,285
MG_155_MONOMER,ribosomal protein S19,translation,c,monomer,,,87
MG_156_MONOMER,ribosomal protein L22,translation,c,monomer,,,144
MG_157_MONOMER,ribosomal protein S3,translation,c,monomer,,,268
MG_158_MONOMER,ribosomal protein L16,translation,c,monomer,,,138
MG_159_MONOMER,ribosomal protein L29,translation,c,monomer,,,200
MG_160_MONOMER,ribosomal protein S17,translation,c,monomer,,,85
MG_161_MONOMER,ribosomal protein L14,translation,c,monomer,,,122
MG_162_MONOMER,ribosomal protein L24,translation,c,monomer,,,108
MG_163_MONOMER,ribosomal protein L5,translation,c,monomer,,,180
MG_164_MONOMER,ribosomal protein S14,translation,c,monomer,,,61
MG_165_MONOMER,ribosomal protein S8,translation,c,monomer,,,141
MG_166_MONOMER,ribosomal protein L6,translation,c,monomer,,,184
MG_167_MONOMER,ribosomal protein L18,translation,c,monomer,,,115
MG_168_MONOMER,ribosomal protein S5,translation,c,monomer,,,211
MG_169_MONOMER,ribosomal protein L15,translation,c,monomer,,,150
MG_170_MONOMER,preprotein translocase; SecY subunit,protein transport/singaling,c,monomer,5MG3,,475
MG_171_MONOMER,adenylate kinase,metabolism,c,monomer,,,214
MG_172_MONOMER,methionine aminopeptidase; type I,protein folding/maturation,c,monomer,,,248
MG_173_MONOMER,translation initiation factor IF-1,translation,c,monomer,,,70
MG_174_MONOMER,ribosomal protein L36,translation,c,monomer,,,37
MG_175_MONOMER,ribosomal protein S13,translation,c,monomer,,,124
MG_176_MONOMER,ribosome 30S protein S11,translation,c,monomer,,,121
MG_177_MONOMER,DNA-directed RNA polymerase; alpha subunit,transcription,c,monomer,,,328
MG_178_MONOMER,ribosomal protein L17,translation,c,monomer,,,123
MG_179_180_181_TETRAMER,metal ion (cobalt) ABC transporter,protein transport/singaling,m,complex,5JSZ,(1.0)MG_179_MONOMER'+ '(1.0)MG_180_MONOMER'+ '(2.0)MG_181_MONOMER',
MG_179_MONOMER,metal ion (cobalt) ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,5JSZ,,274
MG_180_MONOMER,metal ion (cobalt) ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,5JSZ,,304
MG_181_MONOMER,metal ion (cobalt) ABC transporter; permease protein,protein transport/singaling,c,monomer,5JSZ,,420
MG_182_DIMER,Pseudouridylate synthase,RNA synthesis/maturation,c,complex,,(2.0)MG_182_MONOMER',
MG_182_MONOMER,tRNA pseudouridine synthase A,RNA synthesis/maturation,c,monomer,,,244
MG_183_MONOMER,oligoendopeptidase F,protein folding/maturation,c,monomer,,,607
MG_184_DIMER,adenine-specific DNA modification methylase,DNA replication/maintenance,c,complex,2OKC,(2.0)MG_184_MONOMER',
MG_184_MONOMER,adenine-specific DNA modification methylase,DNA replication/maintenance,c,monomer,2OKC,,317
MG_185_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,701
MG_186_187_188_189_PENTAMER,Oligosaccharide or polyol ABC transporter,protein transport/singaling,m,complex,4TQU,(2.0)MG_186_MONOMER'+ '(1.0)MG_187_MONOMER'+ '(1.0)MG_188_MONOMER'+ '(1.0)MG_189_MONOMER',
MG_186_MONOMER,Oligosaccharide or polyol ABC transporter; substrate binding protein,protein transport/singaling,c,monomer,4TQU,,250
MG_187_MONOMER,Oligosaccharide or polyol ABC transporter; ATP-binding protein,protein transport/singaling,c,monomer,4TQU,,585
MG_188_MONOMER,Oligosaccharide or polyol ABC transporter; permease protein,protein transport/singaling,c,monomer,4TQU,,329
MG_189_MONOMER,Oligosaccharide or polyol ABC transporter; permease protein,protein transport/singaling,c,monomer,4TQU,,318
MG_190_MONOMER,phosphoesterase,metabolism,c,monomer,,,318
